,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
768,The Legend of Korra (2014),2014,Action,Activision,0.0,0.0,0.0,0.0,0.0,PS4
769,Godzilla (2014),2014,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,PS4
770,Gran Turismo 7,2020,Racing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
771,Wild,2019,Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
772,Tadeo Jones y el manuscrito perdido,2014,Adventure,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
773,OlliOlli 2: Welcome to Olliwood,2016,Sports,PQube,0.0,0.0,0.0,0.0,0.0,PS4
774,Pathologic,2015,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,PS4
775,Rebel Galaxy,2015,Role-Playing,Double Damage Games,0.0,0.0,0.0,0.0,0.0,PS4
776,Assassin's Creed: Victory,2015,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,PS4
777,Silent Hills,2020,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
778,Overlord: Fellowship of Evil,2015,Action,Codemasters,0.0,0.0,0.0,0.0,0.0,PS4
779,R.B.I. Baseball 15,2015,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,PS4
780,Wander,2015,Role-Playing,Wander MMO,0.0,0.0,0.0,0.0,0.0,PS4
781,Final Fantasy VII Remake,2019,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
782,Ikenie to Yuki no Setsuna,2016,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
783,Atelier Sophie,2020,Role-Playing,Gust,0.0,0.0,0.0,0.0,0.0,PS4
784,Dengeki Bunko: Fighting Climax Ignition,2015,Action,Sega,0.0,0.0,0.0,0.0,0.0,PS4
785,World Soccer Winning Eleven 2015,2015,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
786,Cross Reverie,2017,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,PS4
787,Airship Q,2019,Platform,Cygames,0.0,0.0,0.0,0.0,0.0,PS4
788,Killing Bites,2016,Action,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
789,Tiny Troopers Joint Ops,2014,Action,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
790,The London Heist,2016,Shooter,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
791,Risen 3 Enhanced Edition,2015,Role-Playing,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
792,Air Conflicts: Pacific Carriers,2015,Simulation,Kalypso Media,0.0,0.0,0.0,0.0,0.0,PS4
793,God Wars: Beyond Time,2016,Role-Playing,Kadokawa Games,0.0,0.0,0.0,0.0,0.0,PS4
794,Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0,PS4
795,Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,PS4
796,Alekhine's Gun,2016,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,PS4
797,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0.0,0.0,0.0,0.0,0.0,PS4
798,Bloodborne: Complete Edition,2015,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
799,World to the West,2017,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,PS4
800,Days Gone,2019,Action-Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
801,Berserk Musou,2016,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
802,Ginger: Beyond the Crystal,2016,Platform,PQube,0.0,0.0,0.0,0.0,0.0,PS4
803,The Last of Us: Part II,2019,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
804,Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
805,Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0,PS4
806,Metro Exodus,2019,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
807,Anthem,2019,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0,PS4
808,Moons Of Madness,2017,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
809,Iron Harvest,2018,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
810,Biomutant,2018,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,PS4
811,Biomutant,2019,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,PS4
812,de Blob,2017,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,PS4
813,Chaos on Deponia,2017,Adventure,Daedalic Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
814,Code Vein,2018,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
815,Radial G Racing Revolved,2017,Racing,Tammeka Games,0.0,0.0,0.0,0.0,0.0,PS4
816,Grand Theft Auto V,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72,XboxOne
817,Call of Duty: Black Ops 3,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37,XboxOne
818,Call of Duty: WWII,2017,Shooter,Activision,3.75,1.91,0.0,0.57,6.23,XboxOne
819,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77,XboxOne
820,MineCraft,2014,Misc,Microsoft Studios,3.23,1.71,0.0,0.49,5.43,XboxOne
821,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22,XboxOne
822,Battlefield 1,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13,XboxOne
823,Fallout 4,2015,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03,XboxOne
824,Halo 5: Guardians,2015,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92,XboxOne
825,Call of Duty: Infinite Warfare,2016,Shooter,Activision,2.91,1.44,0.0,0.44,4.79,XboxOne
826,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15,XboxOne
827,Forza Horizon 3,2016,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93,XboxOne
828,FIFA 17,2016,Sports,Electronic Arts,1.04,2.4,0.0,0.27,3.71,XboxOne
829,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Studios,2.88,0.37,0.0,0.37,3.62,XboxOne
830,Assassin's Creed: Unity,2014,Action,Ubisoft,2.34,0.9,0.0,0.34,3.58,XboxOne
831,Halo: The Master Chief Collection,2014,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44,XboxOne
832,Destiny,2014,Shooter,Activision,2.17,0.92,0.0,0.32,3.41,XboxOne
833,Gears of War 4,2016,Shooter,Microsoft Studios,2.17,0.9,0.0,0.32,3.38,XboxOne
834,FIFA 16,2015,Sports,EA Sports,0.92,2.1,0.0,0.24,3.25,XboxOne
835,FIFA 18,2017,Sports,EA Sports,0.98,1.92,0.0,0.23,3.14,XboxOne
836,Titanfall,2014,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11,XboxOne
837,Call of Duty: Ghosts,2013,Shooter,Activision,1.92,0.86,0.0,0.28,3.07,XboxOne
838,Overwatch,2016,Shooter,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72,XboxOne
839,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.62,0.84,0.0,0.25,2.71,XboxOne
840,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.54,0.82,0.0,0.24,2.59,XboxOne
841,Assassin's Creed Origins,2017,Action,Ubisoft,1.34,0.92,0.0,0.22,2.47,XboxOne
842,Madden NFL 16,2015,Sports,EA Sports,2.13,0.08,0.0,0.26,2.47,XboxOne
843,Madden NFL 17,2016,Sports,EA Sports,2.14,0.04,0.0,0.26,2.44,XboxOne
844,NBA 2K16,2015,Sports,2K Sports,2.01,0.15,0.0,0.25,2.41,XboxOne
845,Forza Motorsport 5,2013,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4,XboxOne
846,Destiny 2,2017,Shooter,Activision,1.66,0.47,0.0,0.23,2.35,XboxOne
847,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.51,0.59,0.0,0.22,2.32,XboxOne
848,FIFA 15,2014,Sports,EA Sports,0.64,1.39,0.0,0.16,2.19,XboxOne
849,PlayerUnknown's Battlegrounds,2017,Shooter,Microsoft Studios,1.29,0.69,0.0,0.2,2.17,XboxOne
850,Battlefield 4,2013,Shooter,Electronic Arts,1.26,0.65,0.0,0.19,2.09,XboxOne
851,NBA 2K17,2016,Sports,2K Sports,1.7,0.12,0.0,0.21,2.04,XboxOne
852,Forza Motorsport 6,2015,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02,XboxOne
853,NBA 2K18,2017,Sports,2K Sports,1.67,0.14,0.0,0.21,2.02,XboxOne
854,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.15,0.59,0.0,0.17,1.92,XboxOne
855,Madden NFL 18,2017,Sports,EA Sports,1.63,0.07,0.0,0.2,1.91,XboxOne
856,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.13,0.53,0.0,0.17,1.83,XboxOne
857,Far Cry 5,2018,Action,Ubisoft,1.14,0.47,0.0,0.17,1.78,XboxOne
858,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74,XboxOne
859,NBA 2K15,2014,Sports,2K Sports,1.39,0.18,0.0,0.18,1.74,XboxOne
860,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.97,0.61,0.01,0.15,1.74,XboxOne
861,Far Cry 4,2014,Shooter,Ubisoft,0.85,0.68,0.02,0.14,1.68,XboxOne
862,Watch Dogs,2014,Action-Adventure,Ubisoft,0.91,0.59,0.0,0.15,1.64,XboxOne
863,Dead Rising 3,2013,Action,Microsoft Studios,1.06,0.4,0.01,0.15,1.63,XboxOne
864,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,0.98,0.48,0.0,0.15,1.61,XboxOne
865,Madden NFL 15,2014,Sports,EA Sports,1.34,0.1,0.0,0.17,1.6,XboxOne
866,Rise of the Tomb Raider,2015,Adventure,Square Enix,0.61,0.82,0.03,0.12,1.58,XboxOne
867,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,0.97,0.46,0.0,0.14,1.58,XboxOne
868,Forza Motorsport 7,2017,Racing,Microsoft Studios,0.58,0.81,0.01,0.12,1.52,XboxOne
869,Dying Light,2015,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47,XboxOne
870,Ryse,2013,Action,Microsoft Studios,0.84,0.49,0.0,0.13,1.47,XboxOne
871,Forza Horizon 2,2014,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46,XboxOne
872,Doom (2016),2016,Shooter,Bethesda Softworks,0.76,0.57,0.0,0.13,1.45,XboxOne
873,Assassin's Creed Syndicate,2015,Action,Ubisoft,0.71,0.61,0.0,0.12,1.44,XboxOne
874,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42,XboxOne
875,Rocket League,2016,Sports,505 Games,0.52,0.75,0.0,0.11,1.38,XboxOne
876,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.86,0.39,0.0,0.13,1.38,XboxOne
877,Titanfall 2,2016,Shooter,Electronic Arts,0.88,0.37,0.0,0.13,1.37,XboxOne
878,Watch Dogs 2,2016,Action,Ubisoft,0.71,0.53,0.0,0.12,1.35,XboxOne
879,FIFA Soccer 14,2013,Sports,EA Sports,0.44,0.78,0.0,0.1,1.31,XboxOne
880,Destiny: The Taken King,2015,Shooter,Activision,0.91,0.23,0.0,0.12,1.27,XboxOne
881,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24,XboxOne
882,Sunset Overdrive,2014,Action,Microsoft Studios,0.64,0.42,0.0,0.1,1.16,XboxOne
883,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0.0,0.11,1.15,XboxOne
884,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0.0,0.1,1.15,XboxOne
885,Final Fantasy XV,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14,XboxOne
886,Mafia III,2016,Action-Adventure,2K Games,0.54,0.48,0.0,0.09,1.11,XboxOne
887,Diablo III,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0.0,0.09,1.04,XboxOne
888,Just Cause 3,2015,Action-Adventure,Square Enix,0.52,0.41,0.0,0.09,1.01,XboxOne
889,Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.51,0.41,0.0,0.09,1.0,XboxOne
890,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,0.63,0.27,0.0,0.09,0.99,XboxOne
891,Sea of Thieves,2018,Action-Adventure,Microsoft Studios,0.6,0.27,0.0,0.09,0.96,XboxOne
892,NBA 2K14,2013,Sports,2K Sports,0.72,0.12,0.0,0.09,0.94,XboxOne
893,Monster Hunter: World,2018,Action,Capcom,0.67,0.17,0.0,0.09,0.93,XboxOne
894,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89,XboxOne
895,Resident Evil VII: Biohazard,2017,Action,Capcom,0.51,0.3,0.0,0.08,0.89,XboxOne
896,For Honor,2017,Action,Ubisoft,0.57,0.21,0.0,0.08,0.87,XboxOne
897,Dishonored 2,2016,Action,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86,XboxOne
898,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.47,0.32,0.0,0.08,0.86,XboxOne
899,Madden NFL 25,2013,Sports,EA Sports,0.69,0.06,0.0,0.09,0.83,XboxOne
900,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83,XboxOne
901,Guitar Hero Live,2015,Music,Activision,0.52,0.23,0.0,0.08,0.83,XboxOne
902,Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0.0,0.08,0.79,XboxOne
903,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78,XboxOne
904,Rare Replay,2015,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78,XboxOne
905,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.5,0.2,0.0,0.07,0.78,XboxOne
906,Minecraft: Story Mode,2015,Adventure,Mojang,0.46,0.24,0.0,0.07,0.77,XboxOne
907,Fortnite,2017,Action,Gearbox Software,0.6,0.09,0.0,0.08,0.77,XboxOne
908,Quantum Break,2016,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76,XboxOne
909,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.39,0.3,0.0,0.06,0.75,XboxOne
910,Rock Band 4,2015,Music,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75,XboxOne
911,Need for Speed (2015),2015,Racing,Electronic Arts,0.35,0.33,0.0,0.06,0.74,XboxOne
912,The Sims 4,2017,Simulation,Electronic Arts,0.42,0.24,0.0,0.07,0.73,XboxOne
913,Need for Speed: Payback,2017,Racing,Electronic Arts,0.42,0.24,0.0,0.07,0.73,XboxOne
914,Dead Rising 4,2016,Action-Adventure,Microsoft Studios,0.41,0.25,0.0,0.06,0.73,XboxOne
915,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.07,0.72,XboxOne
916,The Crew,2014,Racing,Ubisoft,0.32,0.34,0.0,0.06,0.71,XboxOne
917,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.39,0.25,0.0,0.06,0.71,XboxOne
918,Need for Speed Rivals,2013,Racing,Electronic Arts,0.45,0.19,0.0,0.07,0.7,XboxOne
919,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.45,0.19,0.0,0.07,0.7,XboxOne
920,The Evil Within,2014,Misc,Bethesda Softworks,0.36,0.27,0.0,0.06,0.69,XboxOne
921,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0.0,0.05,0.69,XboxOne
922,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.49,0.13,0.0,0.07,0.68,XboxOne
923,Evolve,2015,Shooter,2K Games,0.4,0.2,0.0,0.06,0.67,XboxOne
924,WWE 2K18,2017,Sports,2K Sports,0.35,0.25,0.0,0.06,0.66,XboxOne
925,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.38,0.22,0.0,0.06,0.66,XboxOne
926,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0.0,0.06,0.65,XboxOne
927,WWE 2K16,2015,Sports,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63,XboxOne
928,Kinect Sports Rivals,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62,XboxOne
929,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.4,0.17,0.0,0.06,0.62,XboxOne
930,WWE 2K15,2014,Sports,2K Sports,0.32,0.23,0.0,0.05,0.61,XboxOne
931,EA Sports UFC 2,2016,Sports,EA Sports,0.36,0.19,0.0,0.06,0.61,XboxOne
932,NHL 17,2016,Sports,EA Sports,0.52,0.01,0.0,0.06,0.6,XboxOne
933,Tekken 7,2017,Fighting,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58,XboxOne
934,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57,XboxOne
935,WWE 2K17,2016,Sports,2K Games,0.26,0.26,0.0,0.05,0.57,XboxOne
936,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0.0,0.05,0.55,XboxOne
937,Just Dance 2015,2014,Music,Ubisoft,0.36,0.13,0.0,0.05,0.54,XboxOne
938,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.38,0.09,0.0,0.05,0.52,XboxOne
939,Alien: Isolation,2014,Adventure,Sega,0.23,0.25,0.0,0.04,0.52,XboxOne
940,Halo Wars 2,2017,Strategy,Microsoft Studios,0.31,0.15,0.0,0.05,0.51,XboxOne
941,NHL 16,2015,Sports,EA Sports,0.41,0.05,0.0,0.05,0.51,XboxOne
942,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5,XboxOne
943,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0.0,0.05,0.5,XboxOne
944,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48,XboxOne
945,Zoo Tycoon (2013),2013,Simulation,Microsoft Studios,0.25,0.18,0.0,0.04,0.48,XboxOne
946,Steep,2016,Sports,Ubisoft,0.24,0.2,0.0,0.04,0.48,XboxOne
947,Thief 4,2014,Action,Square Enix,0.26,0.17,0.0,0.04,0.48,XboxOne
948,Just Dance 2014,2013,Music,Ubisoft,0.31,0.12,0.0,0.04,0.48,XboxOne
949,EA Sports UFC,2014,Fighting,Electronic Arts,0.3,0.13,0.0,0.04,0.48,XboxOne
950,BioShock The Collection,2016,Shooter,2K Games,0.35,0.08,0.0,0.05,0.48,XboxOne
951,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47,XboxOne
952,ARK: Survival Evolved,2017,Action-Adventure,Studio Wildcard,0.3,0.12,0.0,0.04,0.46,XboxOne
953,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.3,0.12,0.0,0.04,0.46,XboxOne
954,Prey (2017),2017,Shooter,Bethesda Softworks,0.21,0.2,0.0,0.04,0.45,XboxOne
955,Skylanders: Trap Team,2014,Platform,Activision,0.34,0.07,0.0,0.04,0.45,XboxOne
956,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0.0,0.04,0.44,XboxOne
957,EA Sports UFC 3,2018,Sports,EA Sports,0.3,0.1,0.0,0.04,0.44,XboxOne
958,Rocksmith 2014,2014,Music,Ubisoft,0.31,0.08,0.0,0.04,0.43,XboxOne
959,Sniper Elite 3,2014,Shooter,505 Games,0.27,0.12,0.0,0.04,0.43,XboxOne
960,Hello Neighbor,2017,Action,Gearbox Software,0.27,0.11,0.0,0.04,0.42,XboxOne
961,NHL 15,2014,Sports,EA Sports,0.32,0.06,0.0,0.04,0.42,XboxOne
962,Project CARS,2015,Racing,Bandai Namco Games,0.21,0.16,0.0,0.04,0.41,XboxOne
963,Destiny: The Collection,2016,Shooter,Activision,0.25,0.12,0.0,0.04,0.41,XboxOne
964,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.31,0.05,0.0,0.04,0.4,XboxOne
965,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.11,0.0,0.04,0.39,XboxOne
966,NHL 18,2017,Sports,EA Sports,0.32,0.03,0.0,0.04,0.39,XboxOne
967,The Evil Within II,2017,Action,Bethesda Softworks,0.25,0.1,0.0,0.04,0.39,XboxOne
968,Rayman Legends,2014,Platform,Ubisoft,0.13,0.22,0.0,0.03,0.38,XboxOne
969,Just Dance 2016,2015,Music,Ubisoft,0.3,0.04,0.0,0.04,0.38,XboxOne
970,Skylanders SWAP Force,2013,Misc,Activision,0.25,0.07,0.0,0.03,0.35,XboxOne
971,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35,XboxOne
972,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.21,0.11,0.0,0.03,0.35,XboxOne
973,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.26,0.05,0.0,0.03,0.34,XboxOne
974,Just Dance 2017,2016,Music,Ubisoft,0.25,0.05,0.0,0.03,0.34,XboxOne
975,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0.0,0.03,0.33,XboxOne
976,The Crew 2,2018,Racing,Ubisoft,0.2,0.1,0.0,0.03,0.33,XboxOne
977,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.11,0.0,0.03,0.33,XboxOne
978,METRO 2033,2014,Shooter,Deep Silver,0.15,0.14,0.0,0.03,0.31,XboxOne
979,Hitman (2016),2017,Action,Square Enix,0.2,0.08,0.0,0.03,0.31,XboxOne
980,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0.0,0.03,0.3,XboxOne
981,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.2,0.07,0.0,0.03,0.3,XboxOne
982,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.18,0.09,0.0,0.03,0.3,XboxOne
983,Sonic Forces,2017,Platform,Sega,0.15,0.11,0.0,0.03,0.29,XboxOne
984,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.19,0.07,0.0,0.03,0.28,XboxOne
985,Battleborn,2016,Shooter,2K Games,0.2,0.05,0.0,0.03,0.28,XboxOne
986,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.16,0.09,0.0,0.02,0.28,XboxOne
987,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.13,0.12,0.0,0.02,0.27,XboxOne
988,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0.0,0.02,0.27,XboxOne
989,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0.0,0.02,0.27,XboxOne
990,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.17,0.08,0.0,0.02,0.27,XboxOne
991,Skylanders Imaginators,2016,Platform,Activision,0.19,0.05,0.0,0.03,0.27,XboxOne
992,Friday the 13th: The Game,2017,Action,Gun Media,0.21,0.03,0.0,0.03,0.27,XboxOne
993,ReCore,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,XboxOne
994,F1 2015,2015,Racing,Codemasters,0.09,0.15,0.0,0.02,0.25,XboxOne
995,L.A. Noire,2017,Adventure,Rockstar Games,0.14,0.09,0.0,0.02,0.25,XboxOne
996,Trials Fusion,2014,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.25,XboxOne
997,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.16,0.06,0.0,0.02,0.24,XboxOne
998,Zumba Fitness: World Party,2013,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,XboxOne
999,Saints Row IV,2015,Action,Deep Silver,0.13,0.09,0.0,0.02,0.24,XboxOne
1000,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.09,0.0,0.02,0.24,XboxOne
1001,A Way Out,2018,Action,Electronic Arts,0.17,0.05,0.0,0.02,0.24,XboxOne
1002,NBA Live 14,2013,Sports,EA Sports,0.19,0.02,0.0,0.02,0.24,XboxOne
1003,Payday 2,2015,Shooter,505 Games,0.14,0.07,0.0,0.02,0.23,XboxOne
1004,DiRT 4,2017,Racing,Codemasters,0.11,0.1,0.0,0.02,0.23,XboxOne
1005,NBA Live 15,2014,Sports,Electronic Arts,0.18,0.02,0.0,0.02,0.22,XboxOne
1006,F1 2016 (Codemasters),2016,Racing,Codemasters,0.09,0.12,0.0,0.02,0.22,XboxOne
1007,Deadpool,2015,Action,Activision,0.17,0.03,0.0,0.02,0.22,XboxOne
1008,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.12,0.08,0.0,0.02,0.22,XboxOne
1009,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.14,0.06,0.0,0.02,0.22,XboxOne
1010,Lords of the Fallen,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,XboxOne
1011,Super Lucky's Tale,2017,Platform,Microsoft Studios,0.13,0.07,0.0,0.02,0.22,XboxOne
1012,DiRT Rally,2016,Racing,Codemasters,0.12,0.08,0.0,0.02,0.21,XboxOne
1013,Just Dance 2018,2017,Music,Ubisoft,0.15,0.04,0.0,0.02,0.21,XboxOne
1014,Homefront: The Revolution,2016,Shooter,Deep Silver,0.1,0.09,0.0,0.02,0.21,XboxOne
1015,State of Decay,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0.0,0.02,0.21,XboxOne
1016,NBA Live 18,2017,Sports,EA Sports,0.18,0.0,0.0,0.02,0.21,XboxOne
1017,theHunter: Call of the Wild,2017,Shooter,Astragon,0.18,0.0,0.0,0.02,0.21,XboxOne
1018,Sleeping Dogs,2014,Action-Adventure,Square Enix,0.1,0.09,0.0,0.02,0.2,XboxOne
1019,Project CARS 2,2017,Racing,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2,XboxOne
1020,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,XboxOne
1021,Dishonored,2015,Action,Bethesda Softworks,0.13,0.05,0.0,0.02,0.19,XboxOne
1022,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.11,0.07,0.0,0.02,0.19,XboxOne
1023,Fantasia: Music Evolved,2014,Music,Disney Interactive Studios,0.14,0.03,0.0,0.02,0.19,XboxOne
1024,Mirror's Edge 2,2016,Platform,Electronic Arts,0.11,0.06,0.0,0.02,0.19,XboxOne
