,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
115,WWE 2K16,2015,Sports,Take-Two Interactive,0.43,0.65,0.0,0.21,1.29,PS4
116,Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28,PS4
117,Project CARS,2015,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28,PS4
118,WWE 2K17,2016,Sports,2K Games,0.32,0.7,0.0,0.19,1.22,PS4
119,Guitar Hero Live,2015,Music,Activision,0.52,0.49,0.0,0.2,1.21,PS4
120,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2,PS4
121,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2,PS4
122,Shadow of the Colossus,2018,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2,PS4
123,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2,PS4
124,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19,PS4
125,LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0.0,0.2,1.18,PS4
126,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18,PS4
127,WWE 2K15,2014,Sports,2K Sports,0.4,0.57,0.0,0.19,1.16,PS4
128,MLB The Show 17,2017,Sports,Sony Interactive Entertainment,0.94,0.0,0.0,0.22,1.16,PS4
129,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14,PS4
130,The Elder Scrolls V: Skyrim PSVR,2017,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13,PS4
131,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0.0,0.18,1.11,PS4
132,EA Sports UFC,2014,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11,PS4
